train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-22,2024-02-21,2024-02-22,2024-03-21,16,8,75.0,6.47,True
2024-01-22,2024-03-21,2024-03-22,2024-04-21,16,4,25.0,-10.99,False
2024-02-22,2024-04-21,2024-04-22,2024-05-21,8,3,33.33,-0.46,False
2024-03-22,2024-05-21,2024-05-22,2024-06-21,7,14,42.86,-0.73,False
2024-05-22,2024-07-21,2024-07-22,2024-08-21,14,3,100.0,11.87,True
2024-06-22,2024-08-21,2024-08-22,2024-09-21,4,8,100.0,3.84,True
2024-07-22,2024-09-21,2024-09-22,2024-10-21,11,6,16.67,-4.37,False
2024-08-22,2024-10-21,2024-10-22,2024-11-21,8,16,31.25,-1.18,False
2024-09-22,2024-11-21,2024-11-22,2024-12-21,22,15,33.33,-0.27,False
2024-11-22,2025-01-21,2025-01-22,2025-02-21,15,13,69.23,0.71,True
2024-12-22,2025-02-21,2025-02-22,2025-03-21,13,8,62.5,0.09,True
2025-01-22,2025-03-21,2025-03-22,2025-04-21,21,3,0.0,-2.66,False
2025-02-22,2025-04-21,2025-04-22,2025-05-21,11,5,60.0,0.37,True
2025-03-22,2025-05-21,2025-05-22,2025-06-21,8,5,80.0,4.25,True
2025-04-22,2025-06-21,2025-06-22,2025-07-21,10,5,100.0,4.85,True
2025-05-22,2025-07-21,2025-07-22,2025-08-21,10,8,87.5,13.76,True
2025-06-22,2025-08-21,2025-08-22,2025-09-21,5,7,14.29,-4.91,False
2025-07-22,2025-09-21,2025-09-22,2025-10-21,15,3,66.67,5.05,True
2025-08-22,2025-10-21,2025-10-22,2025-11-21,3,5,0.0,-2.22,False
2025-09-22,2025-11-21,2025-11-22,2025-12-21,8,5,20.0,-2.36,False
2025-11-22,2026-01-21,2026-01-22,2026-02-21,5,9,33.33,-1.88,False
2025-12-22,2026-02-21,2026-02-22,2026-03-21,9,3,0.0,-9.64,False
2026-01-22,2026-03-21,2026-03-22,2026-04-21,11,3,100.0,2.31,True
2026-02-22,2026-04-21,2026-04-22,2026-05-21,5,5,60.0,0.69,True
