Mã,Chiến lược,Ngày tín hiệu quá khứ,Giá tín hiệu,RSI,Ret5 %,Cách MA20 %,Drawdown20 %,Volume ratio,Lợi T+2 %,Lợi T+5 gốc %,Lợi T+5 sau phí %,Lợi T+5 delay gốc %,Lợi T+5 delay sau phí %,Regime thô,Regime gộp,Phương pháp match
ABB,MOMENTUM,2024-09-27 07:00:00,7.39,75.34246575342468,5.270655270655267,4.6593966860217995,-2.3778071334214057,3.9604281900735674,-1.2178619756427533,-1.2178619756427533,-2.017861975642753,-1.2178619756427533,-2.017861975642753,THỊ TRƯỜNG TÍCH CỰC,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2024-09-30 07:00:00,7.39,85.93750000000001,5.270655270655267,4.452296819787982,-2.3778071334214057,1.865361522783796,-1.2178619756427533,-2.571041948579156,-3.3710419485791556,-1.3698630136986245,-2.1698630136986248,THỊ TRƯỜNG TÍCH CỰC,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2024-10-01 07:00:00,7.3,75.34246575342468,3.9886039886039892,3.1073446327683607,-3.566710700132103,1.3391410516555766,0.0,-1.3698630136986245,-2.1698630136986248,-1.3698630136986245,-2.1698630136986248,THỊ TRƯỜNG TÍCH CỰC,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2024-10-02 07:00:00,7.3,71.87500000000003,2.672292545710264,2.9691797729036074,-3.566710700132103,1.5247321209242695,0.0,-2.602739726027392,-3.4027397260273924,-2.602739726027392,-3.4027397260273924,THỊ TRƯỜNG TÍCH CỰC,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2024-10-03 07:00:00,7.3,83.63636363636365,1.388888888888884,2.831384702070694,-3.566710700132103,3.6487059930803922,-1.3698630136986245,-1.3698630136986245,-2.1698630136986248,-1.3698630136986245,-2.1698630136986248,THỊ TRƯỜNG TÍCH CỰC,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-02-05 07:00:00,6.75,71.42857142857143,4.166666666666652,2.6694045174537884,0.0,0.5901281806598022,1.333333333333342,0.0,-0.8,0.0,-0.8,THỊ TRƯỜNG TÍCH CỰC,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-02-06 07:00:00,6.75,66.66666666666666,4.166666666666652,2.6694045174537884,0.0,1.9581013025588359,0.0,0.0,-0.8,-1.3157894736842035,-2.1157894736842033,THỊ TRƯỜNG TÍCH CỰC,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-02-07 07:00:00,6.84,83.33333333333333,5.555555555555536,3.8961038961039085,0.0,2.4428945407701783,0.0,2.631578947368407,1.831578947368407,4.0000000000000036,3.2000000000000037,THỊ TRƯỜNG TÍCH CỰC,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-02-10 07:00:00,6.75,71.42857142857143,1.3513513513513598,2.459016393442637,-1.3157894736842035,1.4825508025175238,0.0,6.666666666666665,5.866666666666665,5.263157894736836,4.463157894736836,THỊ TRƯỜNG TÍCH CỰC,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-02-11 07:00:00,6.84,71.42857142857143,1.333333333333342,3.612815269256986,0.0,1.081837950790825,-1.3157894736842035,3.9473684210526327,3.147368421052633,5.3333333333333455,4.533333333333346,THỊ TRƯỜNG TÍCH CỰC,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-02-14 07:00:00,7.02,80.0,2.631578947368407,5.619498984427884,0.0,3.979199036448288,1.2820512820512997,2.564102564102577,1.7641025641025772,0.0,-0.8,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-02-17 07:00:00,7.2,83.33333333333334,6.666666666666665,7.744107744107742,-1.3698630136986245,3.965239556867347,-2.5000000000000133,0.0,-0.8,1.2658227848101333,0.4658227848101333,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-02-18 07:00:00,7.11,76.92307692307693,3.9473684210526327,5.898123324396787,-2.602739726027392,1.705940582149288,0.0,1.2658227848101333,0.4658227848101333,2.564102564102577,1.7641025641025772,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-02-19 07:00:00,7.02,71.4285714285714,4.0000000000000036,4.208416833667306,-3.835616438356171,2.030604446873954,2.564102564102577,0.0,-0.8,-1.2658227848101333,-2.065822784810133,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-02-20 07:00:00,7.11,73.33333333333331,5.3333333333333455,5.123087159015305,-2.602739726027392,2.169126486730729,1.2658227848101333,-1.2658227848101333,-2.065822784810133,-2.5000000000000133,-3.300000000000013,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-02-21 07:00:00,7.2,71.42857142857142,2.564102564102577,5.96026490066226,-1.3698630136986245,1.8288889676327809,0.0,-3.750000000000009,-4.550000000000009,-3.750000000000009,-4.550000000000009,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-02-25 07:00:00,7.2,69.23076923076923,1.2658227848101333,4.849279161205766,-1.3698630136986245,0.8393914364184847,-2.5000000000000133,-3.750000000000009,-4.550000000000009,-1.2820512820512775,-2.0820512820512773,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-03-11 07:00:00,7.48,69.49152542372883,7.936507936507953,5.791669613181538,-2.3498694516971286,0.6409125622398355,-2.406417112299475,4.8128342245989275,4.012834224598928,7.397260273972606,6.597260273972606,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-03-17 07:00:00,7.66,64.93506493506491,2.4064171122994527,6.811685142578261,0.0,1.9993352722522968,-1.1749347258485643,-3.524804177545693,-4.324804177545693,-5.739795918367352,-6.539795918367352,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-03-19 07:00:00,7.57,65.19337016574588,3.698630136986303,4.623039181811905,-16.16832779623476,1.1497570114592743,-1.1889035667106973,-4.887714663143994,-5.687714663143994,0.0,-0.8,THỊ TRƯỜNG TÍCH CỰC,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-05-15 07:00:00,7.11,81.81818181818184,3.9473684210526327,5.123087159015305,0.0,2.773133850482829,-2.5316455696202667,-2.5316455696202667,-3.3316455696202665,-1.2820512820512775,-2.0820512820512773,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-05-16 07:00:00,7.02,69.99999999999996,2.631578947368407,3.4482758620689724,-1.2658227848101333,1.207819647527269,-1.2820512820512775,-1.2820512820512775,-2.0820512820512773,0.0,-0.8,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-05-19 07:00:00,6.93,63.63636363636361,1.3157894736842035,1.9192587690271434,-2.5316455696202667,1.002446926428281,1.298701298701288,1.298701298701288,0.498701298701288,1.298701298701288,0.498701298701288,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-05-21 07:00:00,7.02,69.99999999999996,1.298701298701288,2.902374670184682,-1.2658227848101333,1.9279750350196683,-1.2820512820512775,6.552706552706566,5.752706552706567,7.936507936507953,7.136507936507953,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-05-27 07:00:00,7.3,75.22935779816511,5.339105339105332,5.7434634605634916,-1.2178619756427533,3.3090788288964053,1.2328767123287676,1.2328767123287676,0.43287671232876757,-1.2032085561497374,-2.0032085561497377,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-05-28 07:00:00,7.48,77.1186440677966,6.552706552706566,7.78097982708934,-1.1889035667106973,3.6434603840426676,-2.406417112299475,-1.2032085561497374,-2.0032085561497377,0.0,-0.8,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-05-29 07:00:00,7.39,71.65354330708657,6.6378066378066425,5.927040779760628,-2.3778071334214057,1.5060757094412662,0.0,0.0,-0.8,1.2328767123287676,0.43287671232876757,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-05-30 07:00:00,7.3,66.91176470588232,5.339105339105332,4.226156482010279,-3.566710700132103,1.1310328270232568,1.2328767123287676,0.0,-0.8,-1.2178619756427533,-2.017861975642753,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-06-02 07:00:00,7.39,68.96551724137927,5.270655270655267,5.098485387186247,-2.3778071334214057,1.1907641364140797,0.0,-2.571041948579156,-3.3710419485791556,-2.571041948579156,-3.3710419485791556,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-06-03 07:00:00,7.39,66.91176470588232,1.2328767123287676,4.689049440430648,-2.3778071334214057,1.055060124910667,0.0,-1.2178619756427533,-2.017861975642753,-1.2178619756427533,-2.017861975642753,THỊ TRƯỜNG MẠNH,RISK ON,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-06-11 07:00:00,7.57,73.18840579710145,2.435723951285529,4.927576408621515,-2.3225806451612874,2.172006330670332,-1.1889035667106973,1.1889035667107084,0.38890356671070836,0.0,-0.8,SIDEWAY / TRUNG TÍNH,SIDEWAY,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-06-12 07:00:00,7.66,74.82993197278913,3.653585926928282,5.771886219276445,-1.1612903225806437,0.9452063139871553,0.0,0.0,-0.8,2.4064171122994527,1.6064171122994526,SIDEWAY / TRUNG TÍNH,SIDEWAY,MATCH TƯƠNG ĐỒNG NỚI LỎNG
ABB,MOMENTUM,2025-06-13 07:00:00,7.48,64.74358974358977,2.465753424657535,2.9593943565038083,-3.483870967741931,1.0233238526017716,3.609625668449201,3.609625668449201,2.8096256684492014,1.1749347258485532,0.37493472584855314,SIDEWAY / TRUNG TÍNH,SIDEWAY,MATCH TƯƠNG ĐỒNG NỚI LỎNG
