train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-22,2024-04-21,2024-04-22,2024-05-21,28,6,66.67,2.81,True
2024-02-22,2024-05-21,2024-05-22,2024-06-21,19,5,0.0,-1.49,False
2024-04-22,2024-07-21,2024-07-22,2024-08-21,9,8,87.5,1.27,True
2024-05-22,2024-08-21,2024-08-22,2024-09-21,17,7,42.86,1.67,True
2024-06-22,2024-09-21,2024-09-22,2024-10-21,19,6,0.0,-1.23,False
2024-07-22,2024-10-21,2024-10-22,2024-11-21,17,5,20.0,-0.99,False
2024-09-22,2024-12-21,2024-12-22,2025-01-21,10,11,81.82,1.5,True
2024-12-22,2025-03-21,2025-03-22,2025-04-21,16,9,66.67,3.09,True
2025-05-22,2025-08-21,2025-08-22,2025-09-21,4,9,33.33,-0.59,False
2025-06-22,2025-09-21,2025-09-22,2025-10-21,13,5,100.0,5.14,True
2025-07-22,2025-10-21,2025-10-22,2025-11-21,18,10,60.0,0.2,True
2025-08-22,2025-11-21,2025-11-22,2025-12-21,12,6,33.33,-0.94,False
2025-09-22,2025-12-21,2025-12-22,2026-01-21,13,11,0.0,-1.02,False
2025-11-22,2026-02-21,2026-02-22,2026-03-21,15,9,0.0,-3.48,False
2025-12-22,2026-03-21,2026-03-22,2026-04-21,13,11,18.18,-1.43,False
2026-02-22,2026-05-21,2026-05-22,2026-06-21,23,6,50.0,2.08,True
