symbol,total_alerts,v18_entry_alerts,v19_position_alerts,last_alert_time,last_alert_type
EIB,22,0,22,2026-05-20 09:02:20,KIỂM TRA GIÁ TRƯỚC KHI BÁN
BFC,18,0,18,2026-05-19 14:36:18,THOÁT VỊ THẾ
HNG,5,5,0,2026-05-18 14:02:20,🟢 PULLBACK VÙNG MUA
MWG,5,5,0,2026-05-18 14:45:40,🔴 THỦNG STOPLOSS
PVT,4,4,0,2026-05-19 10:14:36,⚠️ INTRADAY WEAKNESS + VWAP OK
CII,3,0,3,2026-05-19 14:49:41,THOÁT VỊ THẾ
GAS,3,3,0,2026-05-19 10:08:22,🟢 PULLBACK VÙNG MUA
HCM,3,3,0,2026-05-19 10:05:13,🟢 PULLBACK VÙNG MUA
VRE,3,0,3,2026-05-19 10:37:26,THOÁT VỊ THẾ
PLX,2,2,0,2026-05-19 10:30:11,🟢 PULLBACK VÙNG MUA
GVR,1,1,0,2026-05-18 10:55:42,🟢 PULLBACK VÙNG MUA
OIL,1,1,0,2026-05-19 09:40:23,🟢 PULLBACK VÙNG MUA
VND,1,1,0,2026-05-19 10:27:02,🟢 PULLBACK VÙNG MUA
